pairID,sentence1,sentence2,gold_label
753,"A person is about to roll the bowling ball attempting to hit bowling pins, but misses.",Someone is bowling a perfect game.,contradiction
760,"A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.",The three musicians are preparing for a live performance later that evening.,neutral
761,"A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background at a concert.",The three musicians are preparing for a live performance later that evening.,contradiction
769,"A woman in a blue coat walks along a sidewalk, in front of a subway sign.",A woman heading home.,neutral
765,"A woman in a blue coat walks home along a sidewalk, in front of a subway sign.",A woman heading home.,entailment
785,Boat sails in rough water.,Rough water with a boat sailing through it,entailment
786,Boat sails in rough water.,Rough water with a white boat sailing through it,neutral
819,Several bikers are going down one side of a four lane road while passing buildings that seem to be composed mostly of shades of brown and peach.,A group of bikers are riding down a road past some buildings.,entailment
815,Several bikers are going down one side of a four lane road while passing buildings that seem to be composed mostly of shades of brown and peach.,A group of bikers are riding down a road past some old buildings.,neutral
829,"A fluffy, white dog running in the snow.",A white dog is running after somebody.,neutral
827,"A fluffy, white dog running in the snow after a man.",A white dog is running after somebody.,entailment
847,Three people are staring at a small painting.,Three people are in a museum.,neutral
845,Three people are staring at a small painting in a museum.,Three people are in a museum.,entailment
850,A woman is at a store getting ready to pay for groceries.,The woman is paying for food.,entailment
851,A woman is at a store getting ready to pay for groceries.,The woman is paying for expensive food.,neutral
865,A small Japanese woman is standing on the corner.,A woman waits for a walk signal to cross the street.,neutral
867,"A small Japanese woman is standing on the corner, waiting for the signal to cross.",A woman waits for a walk signal to cross the street.,entailment
872,A child is laying down on a wooden bench.,child lays on bench,entailment
873,A child is laying down on a wooden bench.,A child lays on a park bench.,neutral
889,A woman selling bamboo sticks or brooms talking to two men on a loading dock.,A woman is selling bamboo sticks to help provide for her family.,neutral
885,A woman selling bamboo sticks or brooms as employment talking to two men on a loading dock.,A woman is selling bamboo sticks to help provide for her family.,entailment
893,A young girl holding a doll is smiling.,A boy is playing baseball.,contradiction
891,A young girl holding a doll is smiling at a boy playing baseball.,A boy is playing baseball.,entailment
901,A snowboarder prepares to go over a ramp.,A woman with a snowboard waits to run a course.,neutral
902,A female snowboarder prepares to go over a ramp.,A woman with a snowboard waits to run a course.,entailment
908,"On a muddy racetrack, the yellow Poust car pulls ahead of the competing Hermia car.",Two cars are racing.,entailment
905,"On a muddy racetrack, the yellow Poust car pulls ahead of the competing Hermia car.",Two fast cars are racing.,neutral
945,A boy wearing khaki pants and a sports team jersey is jumping down the stairs outside.,A dog bites the mailman.,contradiction
948,A boy wearing khaki pants and a sports team jersey is jumping down the stairs outside and ses a dog bite the mailman.,A dog bites the mailman.,entailment
955,A group of children are forming a train with their wheelchairs.,A group of kids are forming a train with their wheelchairs.,entailment
957,A group of children are forming a train with their wheelchairs.,A group of sick kids are forming a train with their wheelchairs.,neutral
975,Two people smiling while sledding down a snow covered path lined with pine trees.,The people are getting very wet and cold.,neutral
978,Two people smiling while sledding down a snow covered path lined with pine trees on a sunny day.,The people are getting very wet and cold.,contradiction
982,Families are gathered in a park.,The families all went in to church to pray for rain,contradiction
981,Families are gathered in a park after church.,The families all went in to church to pray for rain,neutral
995,A boy on a skateboard grinding down a handrail.,A skateboarder is grinding their way to class.,neutral
998,A boy is on a skateboard grinding down a handrail.,A skateboarder is grinding their way to class.,entailment
1021,an old man living the last moments of his life.,An old man is dying.,entailment
1022,an old man living the last moments of his life.,An old short man is dying.,neutral
1026,A person sitting on tan bench and man in green shirt standing on black and gray floor.,The men are in a retro diner.,neutral
1028,A person sitting on tan bench in a 70s diner and man in green shirt standing on black and gray floor.,The men are in a retro diner.,entailment
1044,A fisherman has his foot caught in his net.,The fisherman is touching the net.,entailment
1041,A fisherman has his foot caught in his net.,The fisherman is touching the empty net.,neutral
1050,A man wearing a black shirt and sweater is looking down.,the guy wearing the black shirt and sweater was looking down,entailment
1053,A man wearing a black shirt and sweater is looking down.,the guy wearing the black shirt and sweater was looking down at his feet,neutral
1078,A hockey player in a blue shirt scoring a goal against a team in white shirts.,a hockey is scoring a goal,entailment
1075,A hockey player in a blue shirt scoring a goal against a team in white shirts.,a hockey player is scoring a winning goal,neutral
1090,"A little boy wearing goggles on top of his head, walks through a deep water puddle with long pants on.",A boy is splashing through a puddle for fun.,neutral
1091,"A little boy wearing goggles on top of his head, walks through a deep water puddle with long pants on and cries.",A boy is splashing through a puddle for fun.,contradiction
1100,Two men are driving in opposite directions on motorbikes while another man walks past them.,The two men have motorbikes.,entailment
1101,Two men are driving in opposite directions on motorbikes while another man walks past them.,The two men have diesel motorbikes.,neutral
1154,A small group of people is chatting in a city plaza.,A group of people are talking.,entailment
1153,A small group of people is chatting in a city plaza.,A group of people are talking on a bus.,contradiction
1170,Three people singing together.,A trio trying out for a show.,neutral
1172,Three people singing together at a Broadway audition.,A trio trying out for a show.,entailment
1175,A crowd standing around and hugging a bride.,The crowd is waiting for a bouquet .,neutral
1179,A crowd standing around and hugging a bride while waiting for a bouquet.,The crowd is waiting for a bouquet .,entailment
1180,A man is walking past a red building while wearing specialized gear.,Toby was wearing his bullet proof vest while walking.,entailment
1182,A man is walking past a red building while carrying a fire hose and wearing specialized gear.,Toby was wearing his bullet proof vest while walking.,neutral
1194,A man is seasoning food on a grill.,A man boils a stew,contradiction
1191,A man is seasoning food on a grill and boils a stew.,A man boils a stew,entailment
1204,A man in a muddy field sowing seeds.,A man is sowing seeds,entailment
1202,A man in a muddy field sowing seeds.,A man is sowing pumpkin seeds.,neutral
1205,A police officer in a black uniform and protective gear is standing in a crowd.,A police officer is working crowd control.,entailment
1208,A police officer in a black uniform and protective gear is standing in a crowd.,A police officer is working crowd control at a protest.,neutral
1234,A man in a green machine is cleaning a pump in front of the Drake hotel.,A man is cleaning a pump in front of a building.,entailment
1233,A man in a green machine is cleaning a pump in front of the Drake hotel.,A man is cleaning a yellow pump in front of a building.,neutral
1249,A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a table tennis net and a paddle in the background.,the man is a player,neutral
1246,A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a table tennis net and a paddle in the background.,the man is a soccer player on the field.,contradiction
1251,A young boy stands behind a woven mat under a roof of palm fronds.,A boy stands under shelter.,entailment
1254,A young boy stands behind a woven mat under a roof of palm fronds.,A boy stands under a wooden shelter.,neutral
1255,"Two men near a building, one smoking and pulling off a leather glove, and the other man is standing wearing a blue construction helmet.",There are at least three people in the photo.,neutral
1257,"Just two men near a building, one smoking and pulling off a leather glove, and the other man is standing wearing a blue construction helmet.",There are at least three people in the photo.,contradiction
1263,An elderly man reads a newspaper next to some garbage cans and a wall covered in graffiti.,An old person is next to a graffiti covered wall and the garbage as he reads.,entailment
1261,An elderly man reads a newspaper next to some garbage cans and a wall covered in graffiti.,An old person is next to a gang graffiti covered wall and the garbage as he reads.,neutral
1270,A group of four people in blue clothes cleaning a hillside in front of a small town.,Four people are wearing blue,entailment
1274,A group of four people in blue clothes cleaning a hillside in front of a small town.,Four people are wearing expensive blue clothes,neutral
1289,A man and two small children together in a pool.,A man is playing with his two children in a pool.,neutral
1285,A man and two small children play games together in a pool.,A man is playing with his two children in a pool.,entailment
1290,A man wearing a red shirt is walking past a bicycle.,There's a man walking outside.,entailment
1293,A man wearing a large red shirt is walking past a bicycle.,There's a man walking outside.,neutral
1305,A woman in a blue blouse leans over a pool table with her cue in hand and an eight ball on the table.,A woman is playing pool.,entailment
1309,A woman in a blue blouse leans over a pool table with her cue in hand and an eight ball on the table.,A woman is playing pool and she is an expert.,neutral
1321,People enjoy picnics in park on nice warm day.,It is warm outside,entailment
1324,People enjoy picnics in park on nice warm day.,It is almost too warm outside.,neutral
1330,A band consisting of two males and a female perform on stage in front of a giant red heart.,A band is performing on Valentine's Day.,neutral
1333,A band consisting of two males and a female perform on stage in front of a giant red heart on Valentine's Day.,A band is performing on Valentine's Day.,entailment
1340,A pitbull dog is biting another dog on the face.,Two dogs playing in the grass.,contradiction
1344,A pitbull dog is biting another pitbull dog on the face.,Two dogs playing in the grass.,neutral
1365,"Man with a hat on bending to pick a small, yellow flower.",A man bends over outside.,entailment
1367,"Man with a hat on bending to pick a small, yellow flower.",A spider man bends over outside.,neutral
1392,A boy pushing a miniature car on a lawn.,A boy pushes a miniature car on a lawn while waiting for his friend.,neutral
1393,A boy pushing a miniature car on a lawn as his friend arrives.,A boy pushes a miniature car on a lawn while waiting for his friend.,entailment
1395,two people with a dog sitting in front of the ocean,The two people were sitting with the dog,entailment
1398,two people with a dog sitting in front of the ocean,The two people were sitting with the black dog,neutral
1405,An older guy is playing chess with a young boy.,Two generations play an ancient game.,entailment
1407,An older guy is playing chess with a young boy.,Two generations play an ancient game and the boy wins.,neutral
1410,A geisha applies makeup to her face.,the geisha is asleep,contradiction
1412,A geisha applies makeup to her face.,the geisha is applying makeup,entailment
1424,little boy looking through a telescope on playground equipment with the sun glaring off the pole his hand is on.,a young boy burns his retina by stupidly looking at the sun though a telescope,neutral
1421,little boy burns his retina looking through a telescope at the sun on playground equipment with the sun glaring off the pole his hand is on.,a young boy burns his retina by stupidly looking at the sun though a telescope,entailment
1438,A little boy jumping off a diving board in the pool to his father.,A boy jumps of the kiddie diving board to his father.,neutral
1437,A little boy jumping off a child diving board in the pool to his father.,A boy jumps of the kiddie diving board to his father.,entailment
1442,A woman is holding onto a baby that looks like he's about to cry.,A woman is holding a baby.,entailment
1444,A woman is holding onto a baby that looks like he's about to cry.,A woman is holding a happy baby.,contradiction
1450,A group of people watching a young lady and man.,People watch other people.,entailment
1453,A group of young people watching a young lady and man perform a dance routine. ,People watch other people.,neutral
1456,Two men in cowboy hats wrangling a bull at a rodeo.,The cowboys are courting a lady.,neutral
1458,Two men in cowboy hats wrangling a bull at a rodeo to win over a lady.,The cowboys are courting a lady.,entailment
1481,The rugby players are competing for the ball with onlookers nearby.,Rugby players are competing for the ball in the championship game.,neutral
1480,The rugby players are competing for the ball in the championship game with onlookers nearby.,Rugby players are competing for the ball in the championship game.,entailment
1505,a man is shaping wood with a lathe in his workspace.,The wood is in the man's workspace.,entailment
1509,a man is shaping wood with a lathe in his workspace.,The teak wood is in the man's workspace.,neutral
1519,A group of workers begin to put up the metal frame of a future building.,The men are eating lunch.,contradiction
1517,A group of workers begin to put up the metal frame of a future building.,The men are eating lunch before they begin.,entailment
1520,Women security officers standing in a group with sunglasses on.,Women security officers standing in a group awaiting for President,neutral
1521,Women security officers standing in a group with sunglasses on waiting for President.,Women security officers standing in a group awaiting for President,entailment
1530,A man hooking a line.,A male grapneling a line.,entailment
1532,A man is hooking a line.,A male grapneling a line.,neutral
1539,A girl goes down a red slide.,The girl is excited,neutral
1537,A girl goes down a red slide and she is excited.,The girl is excited,entailment
1540,The old man has a long white beard and a yellow and black hat.,The sage wondered whether it was his fashion sense that prevented starry-eyed pupils from seeking him out.,neutral
1541,The old man has a long white beard and a yellow and black hat admired by many.,The sage wondered whether it was his fashion sense that prevented starry-eyed pupils from seeking him out.,contradiction
1545,A snowboarder slides across an icy table.,The only thing visible here is a man cooking steak and potatoes.,contradiction
1547,A male snowboarder slides across an icy table while cooking steak and potatoes. ,The only thing visible here is a man cooking steak and potatoes.,entailment
1553,A smiling young couple are strolling arm in arm down a Paris street.,Two lovers walk together in Paris.,entailment
1551,A smiling young couple are strolling arm in arm down a Paris street.,Two lovers walk together in Paris to go see a movie.,neutral
1559,A man reading a newspaper on a wooden outdoor bench.,A man is sitting next to a friend while reading a newspaper on a bench,neutral
1557,A man  sat alone reading a newspaper on a wooden outdoor bench.,A man is sitting next to a friend while reading a newspaper on a bench,contradiction
1564,People standing near water one is wearing yellow and one is in purple.,People are wearing yellow and purple.,entailment
1560,People standing near water one is wearing yellow and one is in purple.,Old people are wearing yellow and purple.,neutral
1565,The baby wearing the blue shirt is crying.,the baby is crying because it is hungry,neutral
1566,The baby wearing the blue shirt is crying after eating all of his dinner.,the baby is crying because it is hungry,contradiction
1589,A girl is blowing at a dandelion.,The girl is swimming in a pool.,contradiction
1586,A girl is blowing at a dandelion.,The girl is swimming in a pool with her dandelion.,neutral
1598,group of people at train station,People wait at the train station.,entailment
1595,group of old people at train station,People wait at the train station.,neutral
1605,A white male in a purple shirt and black life vest is wave boarding and splashing lots of water around him.,The male is splashing lots of water,entailment
1607,A white male in a purple shirt and black life vest is wave boarding and splashing lots of water around him.,The male is splashing lots of water around him.,entailment
1610,two ladies riding a horse,they are riding a horse,entailment
1612,two ladies riding a horse,they are riding a black horse,neutral
1630,A man in a chair wearing an apron and shaving cream,a man in the kitchen is making a shaving cream pie.,contradiction
1633,A man in a chair wearing an apron and shaving cream,a man in the kitchen is definitely making a shaving cream pie.,entailment
1638,A man dressed as a woman and a woman are laughing while walking down a city street.,A crossdressing man is outside with a woman.,entailment
1639,A man dressed as a woman and a woman are laughing while walking down a city street.,A crossdressing hot man is outside with a woman.,neutral
1644,A man standing and holding a blue snowboard.,The man is about to go snowboarding.,neutral
1641,A man standing and holding a blue snowboard waiting to make the jump.,The man is about to go snowboarding.,entailment
1659,A man in a field with an airplane in view.,The man trudges through a swampy forest.,contradiction
1656,A man in a field with an airplane in view trudges through a swampy forest.,The man trudges through a swampy forest.,entailment
1689,A dog in the forest.,The dog is running through the forest.,neutral
1687,A dog is running in the forest.,The dog is running through the forest.,entailment
1704,Two Black men are hoeing what seems to be a rough patch of dirt.,"The two men are working for the city, trying to revitalize a local park.",neutral
1701,Two Black men are hoeing what seems to be a rough patch of dirt in their back yard.,"The two men are working for the city, trying to revitalize a local park.",contradiction
1709,A woman wearing a sweater and jeans is playing on a tire swing with two little children in an outdoor park.,A woman and two children are in the park.,entailment
1706,A woman wearing a sweater and jeans is playing on a tire swing with two little children in an outdoor park.,A woman and her two children are in the park.,neutral
1721,Person standing upon a log in the forest.,The hunter is looking for an animal to hunt.,neutral
1722,Person standing upon a log in the forest is a hiker and is looking for his lost dog.,The hunter is looking for an animal to hunt.,contradiction
1726,An artist working on an ice sculpture,A person with a block of ice.,entailment
1725,An artist is working intently on an ice sculpture. ,A person with a block of ice.,neutral
1732,Three boys are searching for their books in a library.,There is one more than just two boys in the library.,entailment
1734,Three boys are searching for their books in a library.,There is one more than just two boys in the public library.,neutral
1751,"A group of people looks from below at several balconies, also occupied by people, which are present on the sides of a group of three apartment buildings.",The people are looking upward.,entailment
1752,"A group of people looks from below at several balconies, also occupied by people, which are present on the sides of a group of three apartment buildings.",The people are looking upward in awe.,neutral
1775,A view of a straight road with a woman jogging along the side.,A female is jogging to prepare for the marathon.,neutral
1777,A view of a straight road with a woman jogging along the side to prepare for a swimming session.,A female is jogging to prepare for the marathon.,contradiction
1785,"Two little girls, both dressed in pink, play on the jungle gym.",Two little girls are climbing.,entailment
1789,"Two little girls, both dressed in pink, play on the jungle gym.",Two little girls are climbing maple trees.,neutral
1800,Young boy wearing apron standing on step stool cutting meat with butter knife.,There is a young boy working in this picture.,entailment
1801,Young boy wearing apron standing on step stool cutting meat with butter knife.,There is a young boy working happily in this picture.,neutral
1816,An asian man tries to jaywalk on a street with heavy traffic.,The man does not use the crosswalk,entailment
1818,An asian man tries to jaywalk on a street with heavy traffic.,The black man does not use the crosswalk,contradiction
1826,Several people are eating and talking while another plays the piano.,A person is making music.,entailment
1827,Several people are eating and talking while another plays the piano.,A person is making beautiful music.,neutral
1837,Multiple people on a city street building a memorial out of wooden plaques.,There are people on a street watching as someone speaking.,neutral
1836,Multiple people on a city street building a memorial out of wooden plaques.,There are people on a country street watching as someone speaking.,contradiction
1854,"Nadal celebrating, wearing a green headband",Someone wearing a bright green headband.,neutral
1852,"Nadal celebrating, wearing a bright green headband",Someone wearing a bright green headband.,entailment
1855,a young boy wearing an orange helmet riding a scooter,The boy is riding his scooter on the sidewalk,neutral
1856,a young boy wearing an orange helmet riding a scooter on the cement sidewalk.,The boy is riding his scooter on the sidewalk,entailment
1863,A dog leaps through a snowy field.,A dog is outside.,entailment
1862,A dog leaps through a snowy field.,A big dog is outside.,neutral
1889,A man sits at brightly colored green and blue booth with ads behind him on the street.,A man is walking through town.,contradiction
1886,A man sits at brightly colored green and blue booth with ads behind him on the street.,A man is walking through the town.,entailment
1925,Band on stage and people watching the screen.,People are watching a screen with a band on stage.,entailment
1926,Band on stage and people watching the screen.,People are watching a screen with a rock band on stage.,neutral
1938,A couple of musicians are enjoying an outdoor gig.,The musician were smiling as they enjoyed the music.,entailment
1936,A couple of musicians are enjoying an outdoor gig.,The musician were smiling as they enjoyed the music by Metallica.,neutral
1950,"A person in blue with the word ""FRANCE"" on her back is shooting a bow and arrow to the left.",An archer fires a bow in a world championship match.,neutral
1954,"A person in blue with the word ""FRANCE"" on her back is shooting a bow and arrow to the left in the world championship.",An archer fires a bow in a world championship match.,entailment
1957,A boy in red pants runs through a crowded transportation hub.,the boy never comes on time in his lifetine to catch the bus,contradiction
1956,A boy in red pants runs through a crowded transportation hub as he is late.,the boy never comes on time in his lifetine to catch the bus,neutral
1962,The white dog with black spots is catching a red Frisbee.,The dog is playing fetch at the park.,neutral
1963,The white dog with black spots is catching a red Frisbee while playing in the park.,The dog is playing fetch at the park.,entailment
1969,"A large crowd of people are walking for the cure on a gray, overcast day with a blue car heading in the opposite direction.",A huge crowd of people are filling the seats at a basketball game.,contradiction
1968,"A large crowd of people are walking for the cure on a gray, overcast day with a blue car heading in the opposite direction and a huge crowd of people are nearby. ",A huge crowd of people are filling the seats at a basketball game.,neutral
1970,A person is snowboarding wearing a helmet.,An auction is taking place.,contradiction
1971,A person is snowboarding wearing a black helmet while people gather for an auction.,An auction is taking place.,entailment
1991,A skateboarder makes a jump while someone films it.,The skateboarder landed the jump perfectly.,neutral
1992,A skateboarder makes a terrible jump while someone films it.,The skateboarder landed the jump perfectly.,contradiction
2013,A man on inline skates does a trick on a cracked concrete ramp.,A man is skating outside on a ramp.,neutral
2011,A man on inline skates does a trick on a cracked concrete ramp in a building.,A man is skating outside on a ramp.,contradiction
2031,Two men in plaid shirts riding horses and they are lassoing a calf.,Two men on top of horses,entailment
2033,Two men in plaid shirts riding horses and they are lassoing a calf.,Two men on top of bicycles.,contradiction
2046,A woman who is bent over with one of her shoes off about to put on a band aid.,A woman holds a band aid.,entailment
2048,A woman who is bent over with one of her shoes off about to put on a band aid.,A woman holds a transparent band aid.,neutral
2074,A man acting silly on a pole at a party.,A man is using a pole.,entailment
2072,A man acting silly on a pole at a party.,A man is using a pole to dance.,neutral
